gap_id,area,severity,priority,description,impact,recommendation,owner,acceptance_evidence,status
GAP-001,Database,High,P0,Tài liệu v2.0 vẫn ưu tiên PostgreSQL trong Database Dictionary trong khi codebase và nhóm muốn dùng SQL Server.,Dễ bị bắt bẻ vì tài liệu/code không khớp.,Chốt SQL Server 2022 là primary DB; dùng mapping type; thêm SQL Server skeleton.,Tech Lead/Backend 1,DB decision v2.1 + migration SQL Server chạy sạch,Open
GAP-002,Database,High,P0,188 bảng logical schema quá lớn nếu tạo hết ngay từ đầu.,"Mất thời gian migration, UI/API chưa dùng đến.",Chỉ implement P0 trước; P1/P2 để feature flag hoặc roadmap.,Backend 1,P0 migration list được duyệt,Open
GAP-003,RBAC,Critical,P0,RBAC 3 tầng chưa map thành policy service cụ thể trong code.,Cross-tenant/cross-project access bug.,Thiết kế PermissionService + test matrix theo System/Org/Project role.,Backend 1 + Tester,TC-RBAC pass với nhiều account,Open
GAP-004,Tenant Isolation,Critical,P0,Tenant isolation chưa có global query filter rõ.,Rò dữ liệu organization/project khác.,Thêm tenant/org/project filter tại repository/service; không chỉ filter frontend.,Backend 1,Security test cross-tenant 403/404,Open
GAP-005,Auth Security,High,P0,Hash password thủ công/baseline có thể chưa đạt chuẩn production nếu iteration thấp.,Bị hỏi về bảo mật.,Dùng ASP.NET PasswordHasher hoặc PBKDF2 iteration cao; ghi rõ policy.,Backend 1,Unit test verify hash + migration user seed,Open
GAP-006,API Contract,High,P0,API spec v2.0 có thể dùng /api/v1 còn code hiện tại /api/controller.,Frontend/backend lệch contract.,Chốt convention: giữ /api cho MVP hoặc version /api/v1 từ đầu; cập nhật OpenAPI.,Backend 1/2/3,OpenAPI xuất đúng endpoint,Open
GAP-007,Project/Task Workflow,Critical,P0,Approval/evidence target chưa implemented đầy đủ.,Không chứng minh evidence-based progress.,"Implement task_status_change_requests, task_evidences, approval approve/reject.",Web Dev 2,Demo Todo -> InReview -> Done/Reject,Open
GAP-008,Progress Calculation,High,P0,Progress weighted/basic chưa xác định mode project.,Báo cáo % dễ sai.,Thêm project_settings.progress_mode và tests.,Web Dev 2,TC progress basic/weighted pass,Open
GAP-009,Kanban,High,P0,"Custom column phải map status chuẩn, chưa rõ DB/API.",Board tùy biến nhưng report sai.,"kanban_columns.mapped_status bắt buộc, Done/Todo protected.",Web Dev 2 + Web Dev 3,Demo custom column + report đúng,Open
GAP-010,Timeline,Medium,P1,Timeline tab prototype còn trống.,Demo thiếu phần visual mạnh.,Implement Gantt MVP: start/due/dependency/milestone.,Web Dev 2/3,Timeline có task/milestone/overdue,Open
GAP-011,Mini Zalo,High,P1,Chat currently chưa phải module độc lập production-like.,Mất điểm vì yêu cầu giảng viên nhấn mạnh.,"Implement chat_rooms/messages, SignalR ChatHub, task from message.",Web Dev 3,Demo gửi tin + tạo task từ chat,Open
GAP-012,Customer Portal,Critical,P1,Customer filtered view chưa đầy đủ.,Rủi ro lộ nội bộ hoặc demo không rõ đối tượng customer.,Implement customer dashboard/filter/visibility policy.,Web Dev 1 + Web Dev 3,Login customer chỉ thấy public/customer-safe,Open
GAP-013,AI Permission,Critical,P1,RAG permission filter chưa chứng minh.,AI có thể leak private/internal data.,Filter trước retrieval hoặc sau retrieval theo ACL metadata; test private task.,AI Dev 1 + Backend 1,TC-AI-private-data không leak,Open
GAP-014,Qdrant Sync,Medium,P1,Qdrant mất dữ liệu cần rebuild từ SQL/outbox.,AI search không ổn định khi demo.,VectorSyncOutbox + rebuild command + health check.,AI Dev 1,Rebuild Qdrant từ SQL thành công,Open
GAP-015,Ollama Model,Medium,P1,Model nhỏ 1B không đủ cho tác vụ nặng.,AI trả lời kém khi demo.,Model routing: small/local for light; 7B/8B target; API optional.,AI Dev 1,AI config page/model setting,Open
GAP-016,Document Mining,High,P1/P2,MinerU pipeline có thể khó tích hợp thật.,Không kịp nếu ôm full PDF parsing.,MVP: CSV/Markdown import; P1: parser; P2: MinerU adapter.,AI Dev 2,Import Markdown -> draft tasks -> approve,Open
GAP-017,Import Rollback,Medium,P1,Import preview/commit/rollback chưa rõ.,Dữ liệu rác khi import lỗi.,"Tạo import_jobs, import_job_items, transaction commit all-or-nothing.",AI Dev 2 + Backend 2,Rollback test pass,Open
GAP-018,Audit Coverage,High,P0,Audit chưa bao phủ role/status/deadline/visibility/settings.,Không đạt tiêu chuẩn Nhật/evidence.,Audit helper middleware/service với old/new values.,Backend 3,Audit timeline task/project hiển thị,Open
GAP-019,File Security,High,P1,File upload local chưa có scan/allowlist rõ.,Rủi ro bảo mật demo.,"Allowlist, size limit, MIME check; virus scan ghi roadmap.",Backend 3 + Tester,Upload .exe bị chặn,Open
GAP-020,Notification,Medium,P1,SignalR notification baseline chưa đủ event catalog.,User không thấy realtime rõ.,Implement assign/mention/review/deadline/status events.,Web Dev 3,Notification realtime demo,Open
GAP-021,Webhook,Medium,P1/P2,Webhook signing/retry chưa production-like.,Webhook dễ bị bắt bẻ.,"HMAC secret, delivery log, retry job.",Backend 3,Webhook failed retry log,Open
GAP-022,Meeting,Medium,P2,Meeting note/action item có thể vượt scope.,Dễ trễ deadline.,MVP note text + AI summary mock/local; action item create task.,AI Dev 2 + Web Dev 3,Meeting note -> task demo,Open
GAP-023,Testing,High,P0,Test case nhiều nhưng automated test chưa xác định tối thiểu.,Không có evidence chất lượng.,Automate unit tests cho RBAC/task/progress/dependency; manual UAT cho UI.,Tester + All dev,Test report + screenshots,Open
GAP-024,Traceability,Medium,P0,Traceability matrix cần cập nhật khi đổi DB/API.,Tài liệu không khớp code.,Documenter update Req->UC->API->DB->TC sau mỗi sprint.,Documenter,Matrix reviewed weekly,Open
GAP-025,CI/CD,Medium,P1,CI/CD cần chạy build/test/migration check.,Merge lỗi khó phát hiện.,"GitHub Actions: build .NET, npm build, tests, docker smoke optional.",Web Dev 1,CI badge green,Open
GAP-026,Seed Demo Data,High,P0,Chưa có seed kịch bản demo đầy đủ.,Demo thiếu dữ liệu hoặc không flow.,Seed org/project/sprint/task/chat/wiki/customer/AI docs.,Backend 1 + Documenter,One-command seed demo,Open
GAP-027,Vietnamese UI Encoding,Medium,P0,Prototype từng có khả năng lỗi tiếng Việt/encoding.,Mất điểm demo.,"UTF-8 end-to-end, font, seed Vietnamese text smoke.",Web Dev 3,Screenshot smoke pass,Open
GAP-028,Docs vs 7-person Roles,Medium,P0,"Kế hoạch cũ có thể lệch cấu hình 3 web dev, 2 AI dev, tester, documenter.",Chia việc không rõ.,Cập nhật RACI theo đúng 7 role mới.,Documenter/PM,WBS v2.1 approved,Open
GAP-029,Database Indexing,High,P0,SQL Server indexing khác PostgreSQL GIN/partial.,Query chậm/không đúng syntax.,"Filtered indexes, FTS, computed columns cho JSON needed fields.",Backend 1,Execution plan/index review for P0 APIs,Open
GAP-030,Soft Delete,Medium,P0,Soft delete cần consistent query filter.,Dữ liệu đã xóa vẫn hiện.,BaseEntity + query filters; audit/log exception.,Backend 1,Deleted data hidden but audit retained,Open
GAP-031,UML,Medium,P0,Chưa có sơ đồ UML cuối cùng.,Bị giảng viên yêu cầu.,"Vẽ use case, class, sequence, activity, component, deployment.",Documenter,UML exported in report,Open
GAP-032,Release Checklist,Medium,P0,Nghiệm thu chưa biến thành gate rõ.,Mỗi người hiểu Done khác nhau.,Use v2.1 acceptance gates and checklist.,Tester/PM,Gate sign-off table,Open
GAP-033,S3/MinIO,Low,P2,MinIO/S3 trong plan nhưng local storage codebase.,Không hại MVP.,Giữ local MVP; interface IFileStorage để thay S3.,Backend 3,IFileStorage interface exists,Open
GAP-034,Analytics,Low,P2,Nhiều bảng analytics chưa dùng trong MVP.,Không nên code quá sớm.,Chỉ snapshot cơ bản project/task; advanced P2.,Web Dev 2,Dashboard MVP data works,Open
GAP-035,Production Public URL,Low,P2,Chưa xác định deploy public hay local.,Ảnh hưởng demo logistics.,Chốt staging Docker trên 1 máy; public URL optional.,PM/DevOps,Demo runbook finalized,Open
