risk_id,risk,probability,impact,affected_area,mitigation,fallback,owner,status
R-AI-001,Giảng viên không tin Qdrant + Ollama đủ mạnh,High,High,Architecture defense,Change to Meetily-first + AI API primary; Qdrant optional P1,Demo with cached API results and Meetily output,Tech Lead,Mitigated v3.1
R-AI-002,API token cost vượt budget khi test,Medium,High,Cost,"Daily/monthly budget, cache, mock, golden dataset, no direct client calls","Disable provider, use mock/Ollama",Backend Lead,Open
R-AI-003,Laptop RTX4060/16GB thiếu RAM khi chạy Meetily + Ollama + Docker,Medium,Medium,Local AI demo,Run only Meetily+Ollama; move DB/backend to VPS; use 7B/8B Q4 only,AI API primary; stop Ollama,AI Lead,Open
R-AI-004,VPS 8GB không đủ cho SQL Server + Qdrant + backend under load,Medium,Medium,Deployment,No Ollama on VPS; cap SQL RAM; optional Qdrant; Redis small; monitor memory,Disable Qdrant P1; use SQL keyword search,DevOps,Open
R-AI-005,Meetily open-source thay đổi nhanh hoặc Pro features không có trong CE,Medium,Medium,Meeting module,"Lock commit/version, rely only on CE import/export/transcript/summary",Manual import transcript; cloud transcription backup,AI Lead,Open
R-AI-006,AI extract sai assignee/deadline,Medium,High,Task correctness,AI only creates drafts; require human confirmation; display source message/meeting,Manual edit before save,Product Owner,Open
R-AI-007,ngrok public endpoint bị spam/call trái phép,Medium,High,Security,Do not expose Ollama directly; Bearer token; IP allowlist; rate limit; payload limit,Turn off tunnel; manual import,DevOps,Open
R-AI-008,Dữ liệu cá nhân bị gửi lên AI API không kiểm soát,Medium,High,Compliance,"PII minimization, redaction, consent notice, audit log, provider policy review",Use local Meetily/Ollama only for sensitive meetings,Security/Compliance,Open
R-AI-009,JSON response từ AI không đúng schema,Medium,Medium,Backend stability,"JSON schema validation, repair attempt max 1, reject invalid",Manual form,Backend Lead,Open
R-AI-010,Demo live API outage/rate limit,Medium,High,Defense demo,Pre-cache demo cases; mock provider; fallback screenshots/logs,Offline demo script,Presenter,Open
R-AI-011,Qdrant integration mất thời gian ảnh hưởng P0,High,Medium,P1 semantic search,Move Qdrant to P1; deliver SQL keyword first,Disable vector search toggle,Tech Lead,Mitigated v3.1
R-AI-012,Không rõ compliance với luật dữ liệu cá nhân Việt Nam,Medium,High,Legal/security,Add compliance checklist; consent/privacy notice; data retention; audit log,Use demo-only synthetic data,Product Owner,Open
