"ID","Bắt đầu","Deadline","Epic","Công việc","Owner","Hỗ trợ","Ưu tiên","Deliverable","Tiêu chí hoàn thành","Phụ thuộc","Trạng thái"
"G0-01","2026-05-26","2026-05-26","Scope & Architecture","Chốt scope workflow trang nhóm trong tuần: tạo nhóm, invite email, chat realtime, vote, meeting, screen share, tạo project từ nhóm","Quang Tuấn","Quang Minh, Gia Long, Quốc Bảo","P0","Scope note và API checklist","Cả team thống nhất P0, không mở thêm scope ngoài workflow nhóm trước 2026-05-31","","Planned"
"G0-02","2026-05-26","2026-05-26","Scope & Architecture","Thiết kế data model cho nhóm: WorkGroup, WorkGroupMember, GroupInvitation, GroupMessage, GroupPoll, GroupMeetingSession","Quang Tuấn","Quang Minh","P0","ERD ngắn và migration plan","Có đầy đủ field owner, role, status, timestamps, organization/project link tùy chọn","G0-01","Planned"
"G0-03","2026-05-26","2026-05-26","Scope & Architecture","Thiết kế permission cho nhóm: Owner, Admin, Member","Quang Tuấn","Duy Hoàng","P0","Permission matrix","Owner quản lý nhóm, Admin quản lý member/vote/meeting, Member chat/vote/join meeting","G0-01","Planned"
"G0-04","2026-05-26","2026-05-26","Scope & Architecture","Chốt contract API cho frontend: group CRUD, members, invitations, messages, polls, meetings, create project from group","Quang Tuấn","Quang Minh, Gia Long, Đoàn Trung","P0","API contract markdown hoặc Swagger notes","Frontend có đủ endpoint và DTO để bắt đầu ghép màn hình","G0-02","Planned"
"G1-01","2026-05-26","2026-05-27","Backend Group Core","Tạo migration và entity cho WorkGroup","Quang Minh","Quang Tuấn","P0","Migration + entity + DbSet","Tạo được bảng nhóm, có OrganizationId, Name, Description, OwnerId, CreatedAt, UpdatedAt","G0-02","Planned"
"G1-02","2026-05-26","2026-05-27","Backend Group Core","Tạo migration và entity cho WorkGroupMember","Quang Minh","Quang Tuấn","P0","Migration + entity + DbSet","Một user có thể thuộc nhiều nhóm, role đúng, unique GroupId + UserId","G1-01","Planned"
"G1-03","2026-05-26","2026-05-27","Backend Group Core","Tạo service và API tạo nhóm mới","Quang Minh","Quang Tuấn","P0","POST /api/groups","User đăng nhập tạo nhóm thành công và tự thành Owner","G1-01,G1-02","Planned"
"G1-04","2026-05-26","2026-05-27","Backend Group Core","Tạo API danh sách nhóm của tôi và chi tiết nhóm","Quang Minh","Gia Long","P0","GET /api/groups và GET /api/groups/{id}","Chỉ thấy nhóm mình là member, trả về member count và role hiện tại","G1-03","Planned"
"G1-05","2026-05-27","2026-05-28","Backend Group Core","Tạo API cập nhật tên, mô tả, avatar hoặc màu nhóm","Quang Minh","Đoàn Trung","P1","PUT /api/groups/{id}","Owner/Admin sửa được, Member thường bị chặn","G0-03,G1-03","Planned"
"G1-06","2026-05-27","2026-05-28","Backend Group Core","Tạo API rời nhóm và xóa nhóm","Quang Minh","Duy Hoàng","P1","DELETE /api/groups/{id}/members/me và DELETE /api/groups/{id}","Member rời nhóm được, Owner xóa nhóm được, không làm mất project đã tạo","G1-04","Planned"
