TestCaseID,Module,Test Description,Expected Result,Status
TC_001,Core Web Feature,Verify feature functionality 1,System responds correctly,New
TC_002,Core Web Feature,Verify feature functionality 2,System responds correctly,New
TC_003,Core Web Feature,Verify feature functionality 3,System responds correctly,New
TC_004,Core Web Feature,Verify feature functionality 4,System responds correctly,New
TC_005,Core Web Feature,Verify feature functionality 5,System responds correctly,New
TC_006,Core Web Feature,Verify feature functionality 6,System responds correctly,New
TC_007,Core Web Feature,Verify feature functionality 7,System responds correctly,New
TC_008,Core Web Feature,Verify feature functionality 8,System responds correctly,New
TC_009,Core Web Feature,Verify feature functionality 9,System responds correctly,New
TC_010,Core Web Feature,Verify feature functionality 10,System responds correctly,New
TC_011,Core Web Feature,Verify feature functionality 11,System responds correctly,New
TC_012,Core Web Feature,Verify feature functionality 12,System responds correctly,New
TC_013,Core Web Feature,Verify feature functionality 13,System responds correctly,New
TC_014,Core Web Feature,Verify feature functionality 14,System responds correctly,New
TC_015,Core Web Feature,Verify feature functionality 15,System responds correctly,New
TC_016,Core Web Feature,Verify feature functionality 16,System responds correctly,New
TC_017,Core Web Feature,Verify feature functionality 17,System responds correctly,New
TC_018,Core Web Feature,Verify feature functionality 18,System responds correctly,New
TC_019,Core Web Feature,Verify feature functionality 19,System responds correctly,New
TC_020,Core Web Feature,Verify feature functionality 20,System responds correctly,New
TC_021,Core Web Feature,Verify feature functionality 21,System responds correctly,New
TC_022,Core Web Feature,Verify feature functionality 22,System responds correctly,New
TC_023,Core Web Feature,Verify feature functionality 23,System responds correctly,New
TC_024,Core Web Feature,Verify feature functionality 24,System responds correctly,New
TC_025,Core Web Feature,Verify feature functionality 25,System responds correctly,New
TC_026,Core Web Feature,Verify feature functionality 26,System responds correctly,New
TC_027,Core Web Feature,Verify feature functionality 27,System responds correctly,New
TC_028,Core Web Feature,Verify feature functionality 28,System responds correctly,New
TC_029,Core Web Feature,Verify feature functionality 29,System responds correctly,New
TC_030,Core Web Feature,Verify feature functionality 30,System responds correctly,New
TC_031,Core Web Feature,Verify feature functionality 31,System responds correctly,New
TC_032,Core Web Feature,Verify feature functionality 32,System responds correctly,New
TC_033,Core Web Feature,Verify feature functionality 33,System responds correctly,New
TC_034,Core Web Feature,Verify feature functionality 34,System responds correctly,New
TC_035,Core Web Feature,Verify feature functionality 35,System responds correctly,New
TC_036,Core Web Feature,Verify feature functionality 36,System responds correctly,New
TC_037,Core Web Feature,Verify feature functionality 37,System responds correctly,New
TC_038,Core Web Feature,Verify feature functionality 38,System responds correctly,New
TC_039,Core Web Feature,Verify feature functionality 39,System responds correctly,New
