uc_id,module,name,actor,priority
UC-AUTH-01,AUTH,Đăng ký tài khoản,Guest,Must Have
UC-AUTH-02,AUTH,Xác thực email,Guest/User,Should Have
UC-AUTH-03,AUTH,Đăng nhập,Guest/User,Must Have
UC-AUTH-04,AUTH,Đăng xuất,User,Must Have
UC-AUTH-05,AUTH,Làm mới phiên/token,User,Should Have
UC-AUTH-06,AUTH,Quên mật khẩu,Guest,Should Have
UC-AUTH-07,AUTH,Đặt lại mật khẩu,Guest,Should Have
UC-AUTH-08,AUTH,Đổi mật khẩu,User,Must Have
UC-ORG-01,ORG,Tạo organization,System customer/admin,Must Have
UC-ORG-02,ORG,Mời thành viên vào organization,org_owner/org_admin,Must Have
UC-ORG-03,ORG,Chấp nhận lời mời,Invited user,Should Have
UC-ORG-04,ORG,Phân quyền thành viên organization,org_owner/org_admin,Must Have
UC-ORG-05,ORG,Xóa thành viên khỏi organization,org_owner/org_admin,Must Have
UC-PROJ-01,PROJ,Tạo project,org_admin/project_manager,Must Have
UC-PROJ-02,PROJ,Cập nhật thông tin project,project_manager,Must Have
UC-PROJ-03,PROJ,Thêm thành viên vào project,project_manager,Must Have
UC-PROJ-04,PROJ,Phân quyền thành viên project,project_manager,Must Have
UC-PROJ-05,PROJ,Lưu trữ project,project_manager,Should Have
UC-PROJ-06,PROJ,Xem dashboard tiến độ project,project_member/customer,Must Have
UC-TASK-01,TASK,Tạo task,PM/Member,Must Have
UC-TASK-02,TASK,Giao task cho thành viên,PM/Sub-manager,Must Have
UC-TASK-03,TASK,Tạo subtask phụ thuộc task cha,PM/Member,Should Have
UC-TASK-04,TASK,Tạo task dependency,PM/Member,Must Have
UC-TASK-05,TASK,Cập nhật trạng thái task,Assignee/PM,Must Have
UC-TASK-06,TASK,Gửi yêu cầu chuyển trạng thái,Assignee,Must Have
UC-TASK-07,TASK,PM duyệt yêu cầu chuyển trạng thái,PM/Reviewer,Must Have
UC-TASK-08,TASK,PM từ chối và yêu cầu làm lại,PM/Reviewer,Must Have
UC-TASK-09,TASK,Upload bằng chứng hoàn thành,Assignee,Must Have
UC-TASK-10,TASK,Log thời gian làm việc,Assignee,Should Have
UC-KANBAN-01,KANBAN,Kéo thả task giữa các cột,Member/PM,Must Have
UC-KANBAN-02,KANBAN,Thêm cột tùy chỉnh,PM,Should Have
UC-KANBAN-03,KANBAN,Xóa cột với điều kiện,PM,Should Have
UC-KANBAN-04,KANBAN,Đặt WIP limit cho cột,PM,Should Have
UC-KANBAN-05,KANBAN,Lọc task trên kanban,Member/PM/Customer,Must Have
UC-SPRINT-01,SPRINT,Tạo sprint,PM,Should Have
UC-SPRINT-02,SPRINT,Lên kế hoạch sprint,PM/Sub-manager,Should Have
UC-SPRINT-03,SPRINT,Bắt đầu sprint,PM,Should Have
UC-SPRINT-04,SPRINT,Hoàn thành sprint,PM,Should Have
UC-SPRINT-05,SPRINT,Xem burndown chart,PM/Member,Nice to Have
UC-TIMELINE-01,TIMELINE,Xem timeline Gantt,Project member,Must Have
UC-TIMELINE-02,TIMELINE,Kéo thả điều chỉnh timeline,PM/Sub-manager,Should Have
UC-TIMELINE-03,TIMELINE,Xem critical path,PM,Nice to Have
UC-CHAT-01,CHAT,Tạo nhóm chat project,PM/System,Must Have
UC-CHAT-02,CHAT,Gửi tin nhắn văn bản,Room member,Must Have
UC-CHAT-03,CHAT,Giao task trực tiếp từ chat,PM/Sub-manager,Must Have
UC-CHAT-04,CHAT,Link task vào tin nhắn,Room member,Should Have
UC-CHAT-05,CHAT,Pin tin nhắn quan trọng,PM/Room admin,Should Have
UC-CHAT-06,CHAT,Xem task được giao trong chat,Room member,Should Have
UC-MEETING-01,MEETING,Tạo meeting và ghi note,PM/Member,Should Have
UC-MEETING-02,MEETING,AI tóm tắt meeting,PM/AI,Should Have
UC-MEETING-03,MEETING,Tạo action item từ meeting,PM,Should Have
UC-WIKI-01,WIKI,Tạo wiki page,PM/Member,Must Have
UC-WIKI-02,WIKI,Chỉnh sửa wiki page versioning,PM/Member,Must Have
UC-WIKI-03,WIKI,Rollback phiên bản wiki cũ,PM,Should Have
UC-AI-01,AI,Hỏi AI về tiến độ project,Project member,Should Have
UC-AI-02,AI,AI sinh báo cáo tiến độ tuần,PM,Should Have
UC-AI-03,AI,AI gợi ý assign task,PM,Nice to Have
UC-AI-04,AI,Sync dữ liệu project vào AI knowledge base,System/PM,Should Have
UC-IMPORT-01,IMPORT,Upload tài liệu PDF/DOCX,PM/BA,Should Have
UC-IMPORT-02,IMPORT,AI phân tích và trích xuất task,PM/AI,Should Have
UC-IMPORT-03,IMPORT,Review và approve draft task,PM/BA,Should Have
UC-IMPORT-04,IMPORT,Import task vào project,PM,Should Have
UC-CUST-01,CUST,Xem tiến độ project customer view,Customer,Must Have
UC-CUST-02,CUST,Gửi phản hồi về task,Customer,Should Have
UC-CUST-03,CUST,Xem thông tin public,Customer,Must Have
UC-ADMIN-01,ADMIN,Bật/tắt feature flag,System admin,Should Have
UC-ADMIN-02,ADMIN,Xem audit log hệ thống,System admin/org_admin,Must Have
UC-ADMIN-03,ADMIN,Quản lý tenant,System admin,Should Have
