gate,check_id,acceptance_item,status,evidence_link,owner
G0_DOCUMENTATION,G0_DOCUMENTATION-01,SRS v2.1 cập nhật SQL Server,Verified-Doc,QALY_Database_Decision_SQLServer_v2.1.md; QALY_SRS_Master_v2.0.md v2.1 note,Documenter/Tech Lead
G0_DOCUMENTATION,G0_DOCUMENTATION-02,DB mapping PostgreSQL sang SQL Server hoàn tất,Verified-Doc,QALY_Database_Decision_SQLServer_v2.1.md; QALY_Database_Dictionary_SQLServer_v2.3.md; SQL Server skeleton,Documenter/Backend 1
G0_DOCUMENTATION,G0_DOCUMENTATION-03,WBS/RACI đúng 7 người,Verified-Doc,QALY_WBS_RACI_Update_7People_v2.1.md,Documenter/PM
G0_DOCUMENTATION,G0_DOCUMENTATION-04,Traceability matrix có Req-UC-API-DB-UI-TC,Verified-Doc,QALY_Traceability_Matrix.csv; QALY_Diagram_Traceability_v2.3.csv,Documenter/Tester
G0_DOCUMENTATION,G0_DOCUMENTATION-05,UML tối thiểu có đủ 6 sơ đồ,Verified-Doc,QALY_UML_Diagram_Specification_v2.3.md; docs/diagrams/,Documenter
G1_DATABASE_ARCHITECTURE,G1_DATABASE_ARCHITECTURE-01,Docker SQL Server chạy,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G1_DATABASE_ARCHITECTURE,G1_DATABASE_ARCHITECTURE-02,EF Core migration từ DB rỗng,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G1_DATABASE_ARCHITECTURE,G1_DATABASE_ARCHITECTURE-03,Seed đủ account demo,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G1_DATABASE_ARCHITECTURE,G1_DATABASE_ARCHITECTURE-04,P0 tables có tenant/org/project key phù hợp,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G1_DATABASE_ARCHITECTURE,G1_DATABASE_ARCHITECTURE-05,Health check SQL/Redis/Qdrant/App xanh,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G2_RBAC_SECURITY,G2_RBAC_SECURITY-01,Backend policy enforce quyền,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
