case_id,ai_function,language,input_fixture,expected_schema,must_include,must_not_include,min_confidence,evaluation_method,status
GOLD-001,meeting_action_extract,vi,fixtures/meeting_action_extract_001.json,meeting_action_extract.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-002,chat_summary,vi,fixtures/chat_summary_002.json,chat_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-003,task_draft,vi,fixtures/task_draft_003.json,task_draft.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-004,assignee_recommendation,vi,fixtures/assignee_recommendation_004.json,assignee_recommendation.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-005,task_breakdown,vi,fixtures/task_breakdown_005.json,task_breakdown.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-006,acceptance_checklist,vi,fixtures/acceptance_checklist_006.json,acceptance_checklist.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-007,progress_summary,vi,fixtures/progress_summary_007.json,progress_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-008,meeting_action_extract,vi,fixtures/meeting_action_extract_008.json,meeting_action_extract.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-009,chat_summary,vi,fixtures/chat_summary_009.json,chat_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-010,task_draft,vi,fixtures/task_draft_010.json,task_draft.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-011,assignee_recommendation,vi,fixtures/assignee_recommendation_011.json,assignee_recommendation.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-012,task_breakdown,vi,fixtures/task_breakdown_012.json,task_breakdown.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-013,acceptance_checklist,vi,fixtures/acceptance_checklist_013.json,acceptance_checklist.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-014,progress_summary,vi,fixtures/progress_summary_014.json,progress_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-015,meeting_action_extract,vi,fixtures/meeting_action_extract_015.json,meeting_action_extract.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-016,chat_summary,vi,fixtures/chat_summary_016.json,chat_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-017,task_draft,vi,fixtures/task_draft_017.json,task_draft.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-018,assignee_recommendation,vi,fixtures/assignee_recommendation_018.json,assignee_recommendation.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-019,task_breakdown,vi,fixtures/task_breakdown_019.json,task_breakdown.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-020,acceptance_checklist,vi,fixtures/acceptance_checklist_020.json,acceptance_checklist.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-021,progress_summary,vi,fixtures/progress_summary_021.json,progress_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-022,meeting_action_extract,vi,fixtures/meeting_action_extract_022.json,meeting_action_extract.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-023,chat_summary,vi,fixtures/chat_summary_023.json,chat_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-024,task_draft,vi,fixtures/task_draft_024.json,task_draft.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-025,assignee_recommendation,vi,fixtures/assignee_recommendation_025.json,assignee_recommendation.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-026,task_breakdown,vi,fixtures/task_breakdown_026.json,task_breakdown.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-027,acceptance_checklist,vi,fixtures/acceptance_checklist_027.json,acceptance_checklist.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-028,progress_summary,vi,fixtures/progress_summary_028.json,progress_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-029,meeting_action_extract,vi,fixtures/meeting_action_extract_029.json,meeting_action_extract.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-030,chat_summary,vi,fixtures/chat_summary_030.json,chat_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-031,task_draft,vi,fixtures/task_draft_031.json,task_draft.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-032,assignee_recommendation,vi,fixtures/assignee_recommendation_032.json,assignee_recommendation.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-033,task_breakdown,vi,fixtures/task_breakdown_033.json,task_breakdown.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-034,acceptance_checklist,vi,fixtures/acceptance_checklist_034.json,acceptance_checklist.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-035,progress_summary,vi,fixtures/progress_summary_035.json,progress_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-036,meeting_action_extract,vi,fixtures/meeting_action_extract_036.json,meeting_action_extract.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-037,chat_summary,vi,fixtures/chat_summary_037.json,chat_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-038,task_draft,vi,fixtures/task_draft_038.json,task_draft.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-039,assignee_recommendation,vi,fixtures/assignee_recommendation_039.json,assignee_recommendation.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-040,task_breakdown,vi,fixtures/task_breakdown_040.json,task_breakdown.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
