"ID","Module","Mục kiểm tra","Trạng thái","Người phụ trách","Bằng chứng","Ghi chú"
"DH06-CHK-001","Import document","DOCX preview/import tạo Wiki page theo scope hiện tại","Pass","Duy Hoàng","docs/task/qa-evidence/meeting-import-qa-2026-06-03.md; docs/task/evidence/2026-06-03_2026-06-09/import-document/","Manual QA DH-03 pass; parser có thể warning bỏ qua bảng/ảnh"
"DH06-CHK-002","Import document","ZIP phase 1 import file con được hỗ trợ và skip file unsupported có warning","Pass","Duy Hoàng","docs/task/qa-evidence/meeting-import-qa-2026-06-03.md; docs/task/evidence/2026-06-03_2026-06-09/import-document/20260604_duyhoang_import_DH01-IMP-002_zip-success.png","Không claim ZIP hỗ trợ mọi định dạng"
"DH06-CHK-003","Import document","PDF được mô tả đúng là roadmap/unsupported khi parser chưa có","Pass","Duy Hoàng","docs/task/qa-evidence/meeting-import-qa-2026-06-03.md; docs/task/evidence/2026-06-03_2026-06-09/import-document/20260604_duyhoang_import_DH01-IMP-003_pdf-unsupported-ui.png","Không claim PDF import positive"
"DH06-CHK-004","Auth/permission","Login smoke và auth boundary cơ bản","Pass","Duy Hoàng","tests/e2e/qaly.smoke.spec.ts; tests/Qaly.IntegrationTests/AuthBoundaryIntegrationTests.cs","DH-02 E2E pass 7/7; DH-04 auth boundary pass"
"DH06-CHK-005","Regression core","Backend build và regression filter Import/Meeting/Auth/AI","Pass","Duy Hoàng","tests/Qaly.UnitTests/; tests/Qaly.IntegrationTests/","DH-04 build pass; integration 14/14; unit 92/92"
"DH06-CHK-006","Meeting","Outside user bị chặn khi join/end meeting ngoài nhóm","Pass","Duy Hoàng","docs/task/qa-evidence/meeting-import-qa-2026-06-03.md; tests/Qaly.UnitTests/GroupsServiceTests.cs","Backend permission hoạt động đúng theo evidence"
"DH06-CHK-007","Meeting","Participant realtime/count cập nhật khi member join meeting","Fail","Gia Long","docs/task/evidence/2026-06-03_2026-06-09/meeting/20260604_duyhoang_meeting_DH01-MTG-004_participant-after-member-join.png","Bug P0 DH03-BUG-MTG-001; cần fix trước demo realtime participant"
"DH06-CHK-008","Meeting","Screen share unsupported có UI feedback rõ","Fail","Gia Long","docs/task/evidence/2026-06-03_2026-06-09/meeting/20260604_duyhoang_meeting_DH01-MTG-005_screen-share-denied-headless.png","Bug P2 DH03-BUG-MTG-002; UI không crash nhưng feedback chưa rõ"
"DH06-CHK-009","Meeting","Screen share positive bằng browser thật/headful","Not Tested","Gia Long / Duy Hoàng","Chưa có bằng chứng","Cần xác minh nếu đưa screen share vào demo"
"DH06-CHK-010","Deploy config","Docker/appsettings/production config nghiệm thu đầy đủ","Not Tested","Đoàn Trung / nhóm deploy","Chưa có bằng chứng","Không claim deploy hoàn chỉnh"
"DH06-CHK-011","AI analytics","Manual deep check analytics/AI output theo provider hoặc fallback","Not Tested","Quốc Bảo / Chí Khang / Duy Hoàng","Chưa có bằng chứng manual deep check","Có E2E smoke và backend fallback/schema; chưa đủ để claim nghiệm thu đầy đủ"
"DH06-CHK-012","Group AI","Manual/E2E summary/draft/action-items theo nhóm demo","Not Tested","Quốc Bảo / Chí Khang / Duy Hoàng","Chưa có bằng chứng manual/E2E đầy đủ","Không claim Group AI nghiệm thu đầy đủ"
"DH06-CHK-013","SignalR","Automation end-to-end participant count meeting","Not Tested","Gia Long / Duy Hoàng","Chưa có bằng chứng automation pass","Manual hiện đang fail participant realtime/count"
