"RiskId","Title","Severity","Likelihood","Impact","Evidence","Mitigation","Owner","Dependency","DueMilestone","ResidualRisk"
"R-001","Privacy controls are locally implemented but target policy and worker rollout remain unverified","Critical","Low","A target misconfiguration could allow unauthorized processing or prevent timely privacy-request fulfillment","QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md;src/Qaly.Web/Controllers/PrivacyController.cs:11;tests/Qaly.IntegrationTests/PrivacyWorkStoreSqlServerTests.cs:12","Require hosted CI staged migration reconciliation approved tenant notice and retention policy live-provider allowlist worker health and backup-expiry runbook before enforcement rollout","Privacy Owner+DevOps","ADR-005;P0-03;P0-07","P0 Privacy Gate","Medium because legal policy production topology continuous worker operation and backup expiry remain environment-specific"
"R-002","Canonical AI lifecycle is locally implemented but legacy compatibility and target rollout remain unreconciled","High","Low","A failed rollout or premature legacy contraction could strand or duplicate jobs and evidence","QALY_Docs_v4.0_Draft/14_P0-02_Canonical_AI_Job_Evidence.md;src/Qaly.Infrastructure/Data/Migrations/20260711192726_P002CanonicalAiJobPlatform.cs:9","Keep flags off by default run preflight and postflight reconciliation in staging preserve legacy queue through the compatibility release and require hosted CI","AI Platform Owner","P0-02;P0-08","P0 AI Platform Gate","Low-Medium until hosted CI staged reconciliation and one compatibility release complete"
"R-003","Budget or compliance block can appear as successful mock result","High","Low","Policy bypass misunderstanding and unsafe confirmation","QALY_Docs_v4.0_Draft/14_P0-02_Canonical_AI_Job_Evidence.md;QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md;tests/Qaly.UnitTests/AiGatewayEvidenceTests.cs:33","Keep structured-error negative tests required restrict mocks to explicit labeled provider degradation and complete target budget policy verification","AI Platform+Privacy","P0-02;P0-03;P0-04","P0 AI Policy Gate","Low for canonical local privacy routes; target budget-policy ownership and live-provider verification remain open"
"R-004","CI typecheck and dependency advisory regression can recur","High","Low","CI failure supply-chain exposure and blocked release","QALY_Docs_v4.0_Draft/13_P0-01_CI_Security_Evidence.md;src/Qaly.Web/ClientApp/App.vue;src/Qaly.Web/Qaly.Web.csproj;package-lock.json","Keep compatible versions pinned run typecheck and vulnerability scans in required CI and review dependency updates","Frontend+Security","P0-01","P0 CI Security Gate","Low; hosted CI and periodic dependency monitoring remain required"
"R-005","Global soft-delete filter conflicts with required relationships","High","Medium","Hidden dependents unexpected query results and restore defects","src/Qaly.Infrastructure/Data/QalyDbContext.cs:146","Audit relationship optionality align filters add model-warning gate and deleted-principal tests","Data Owner","P0-05","P0 Data Integrity Gate","Low after model and recovery tests"
"R-006","Redis degradation adds repeated multi-second authenticated latency","High","High","App appears unavailable during cache failure and can exhaust workers","src/Qaly.Infrastructure/Auth/RedisTicketStore.cs:60;src/Qaly.Web/appsettings.Development.json:5","Use fail-fast timeout circuit state bounded fallback health telemetry and fault-injection load test","Identity+DevOps","ADR-002;P0-05","P0 Resilience Gate","Medium because production topology still needs verification"
"R-007","Backup exists without verified clean restore and release rollback","High","Medium","Data loss or extended outage when recovery is needed","scripts/backup-sqlserver.ps1:1;docs/12_Release_Readiness.md:49","Create restore runbook isolated drill schema-image compatibility evidence RPO and RTO ownership","DevOps+Data Owner","P0-07","P0 Recovery Gate","Medium until scheduled drills are sustained"
"R-008","Canonical links and AI source references are incomplete","Medium","High","Users lose context cannot share exact state and cannot verify AI claims","src/Qaly.Web/ClientApp/App.vue:786;src/Qaly.Web/ClientApp/components/analytics-ai/SourceRefsDrawer.vue:43","Implement entity resolver canonical routes reciprocal links previews and permission-aware source URLs","Frontend+Application Owners","P0-06;P1-02","P0 UX Gate","Low-Medium after E2E and telemetry"
"R-009","Oversized pages and services concentrate responsibilities","Medium","High","Regression slow review merge conflict and unclear ownership","src/Qaly.Web/ClientApp/pages/TasksPage.vue:1;src/Qaly.Application/Services/GroupsService.cs:1;src/Qaly.Application/Services/ErumiChatService.cs:1","Decompose by use case add architecture tests CODEOWNERS and preserve regression behavior","Engineering Lead","P1-06","P1 Maintainability Gate","Medium because size alone is not the only coupling measure"
"R-010","Historical readiness claims are not traceable to current evidence","High","High","Incorrect stakeholder decisions and premature production claim","docs/13_Project_Status_2026-06-08.md:9;QALY_Docs_v4.0_Draft/04_Traceability_Matrix_v4.0.csv:1","Use dated traceability counts supersede historical report in governance and ban unsupported percentages","Product+QA","P0-00;P0-08","v4.0 Draft Approval","Low if governance is enforced"
