"TraceId","SourceScope","SourceRequirement","V4Requirement","Capability","ImplementationStatus","Evidence","Gap","Priority","TargetTest"
"P0-UC-01","ProjectHub+v3.2","Login/logout and refresh","QLY-FR-AUTH-001","Authentication and session lifecycle","Partial","src/Qaly.Web/Controllers/AuthController.cs:48;src/Qaly.Web/Controllers/AuthController.cs:117;tests/Qaly.IntegrationTests/AuthBoundaryIntegrationTests.cs:1","Cookie login/logout works; v3.2 token-refresh contract is superseded and Redis degraded latency is unresolved","P0","Integration: login/current-user/logout/revoke; fault injection: Redis unavailable"
"P0-UC-02","ProjectHub+v3.2","Basic project management","QLY-FR-PRJ-001","Project and membership management","Verified","src/Qaly.Web/Controllers/ProjectsController.cs:68;src/Qaly.Web/Controllers/ProjectsController.cs:103;tests/Qaly.IntegrationTests/ProjectsControllerTests.cs:1","Retain regression and canonical links","P0","Integration: create project/add-remove member/tenant isolation"
"P0-UC-03","ProjectHub+v3.2","Project RBAC","QLY-FR-RBAC-001","Project and tenant isolation","Verified","tests/Qaly.UnitTests/ProjectRoleRulesTests.cs:1;tests/Qaly.UnitTests/TaskAccessPolicyIsolationTests.cs:1;tests/Qaly.IntegrationTests/WikiVisibilityIntegrationTests.cs:1","Extend negative tests to AI source and meeting privacy paths","P0","Integration: cross-tenant/project/private-source denial"
"P0-UC-04","ProjectHub+v3.2","Manual task creation","QLY-FR-TASK-001","Manual task lifecycle","Verified","src/Qaly.Web/Controllers/TasksController.cs:97;src/Qaly.Application/Services/TaskService.cs:640","Canonical task URL is not used by every opening path","P0","Integration+E2E: create/edit/open canonical task"
"P0-UC-05","ProjectHub+v3.2","Kanban status with audit","QLY-FR-TASK-002","Kanban transition and concurrency","Verified","src/Qaly.Application/Services/TaskService.cs:795;src/Qaly.Application/Services/TaskService.cs:852;tests/Qaly.UnitTests/TaskConcurrencyTests.cs:1","Retain transition and stale-write coverage","P0","Unit+integration: transitions/evidence gate/409/audit"
"P0-UC-06","ProjectHub+v3.2","Comment and task evidence","QLY-FR-TASK-003","Comments attachments and evidence","Implemented-Unverified","src/Qaly.Web/Controllers/CommentsController.cs:38;src/Qaly.Web/Controllers/AttachmentsController.cs:38;src/Qaly.Web/Controllers/AttachmentsController.cs:54","No complete executed upload-to-review E2E evidence","P0","Integration+E2E: comment/mention/upload/evidence review/private task"
"P0-UC-07","v3.2","Project chat room","QLY-FR-COLLAB-001","Primary project collaboration group","Partial","src/Qaly.Web/Controllers/GroupsController.cs:232;src/Qaly.Web/Controllers/GroupsController.cs:478;src/Qaly.Domain/Entities/Project.cs:1","Group chat is rich but Project-to-Group ownership and reciprocal navigation are incomplete","P0","Integration+E2E: link/open/message/membership mismatch"
"P0-UC-08","ProjectHub+v3.2","Mention and assignment notification","QLY-FR-NOTIF-001","Permission-aware notifications","Verified","src/Qaly.Application/Services/TaskService.cs:679;src/Qaly.Application/Services/GroupsService.cs:2066;tests/Qaly.UnitTests/NotificationAndWikiPolicyTests.cs:30","Canonical source targets are inconsistent","P0","Unit+E2E: idempotency/mention/assign/read/authorized target"
"P0-UC-09","v3.2","Meetily import","QLY-FR-MEET-001","Meeting-data intake","Implemented-Unverified","src/Qaly.Application/Services/MeetingImportService.cs:79;tests/Qaly.UnitTests/MeetingPrivacyEnforcementTests.cs:17;QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md","Local consent sensitivity retention payload and permission paths pass; hosted CI staged policy rollout and live provider topology remain pending","P0","Unit+integration: schema/dedupe/consent/retention/payload/permission"
"P0-UC-10","v3.2","AI meeting extraction","QLY-FR-AI-002","Meeting extraction draft","Verified","src/Qaly.Application/Services/MeetingImportService.cs:934;tests/Qaly.UnitTests/MeetilyImportTests.cs:1;QALY_Docs_v4.0_Draft/14_P0-02_Canonical_AI_Job_Evidence.md;QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md","Canonical wrapper and privacy policy evidence exist; Meetily remains a synchronous compatibility producer pending capability transport contraction","P0","Integration: enqueue/result/schema/source/manual-review/failure"
"P0-UC-11","v3.2","Create task from AI draft","QLY-FR-AI-004","AI draft confirmation","Verified","src/Qaly.Web/Controllers/MeetingsController.cs:34;tests/Qaly.IntegrationTests/MeetingActionItemsControllerTests.cs:178;tests/Qaly.IntegrationTests/AiJobApiTests.cs:84;tests/Qaly.UnitTests/MeetilyImportTests.cs:71","Canonical draft confirmation exists with idempotency and concurrency; compatibility meeting confirmation remains during rollout","P0","Integration: edit/reject/confirm/idempotency/no-write-before-confirm"
"P0-UC-12","v3.2","Chat summarization","QLY-FR-AI-003","Chat range summary","Partial","src/Qaly.Web/Controllers/GroupAiController.cs:56;src/Qaly.Application/Services/GroupAiService.cs:1","Summary exists but explicit range contract cache identity and source URLs are incomplete","P0","Integration: selected range/cache/invalidation/source/authorization"
"P0-UC-13","v3.2","Task draft from chat","QLY-FR-AI-004","Selected-source task draft","Partial","src/Qaly.Web/ClientApp/components/chat/GroupAiPanel.vue:278;src/Qaly.Application/Services/AiWorkflowService.cs:77","Chat action extraction exists; selected messages to persisted editable draft is incomplete","P0","E2E: select messages/edit/reject/confirm/audit"
"P0-UC-14","v3.2","Assignee recommendation","QLY-FR-AI-005","Explainable assignee recommendation","Verified","src/Qaly.Application/Services/AiService.cs:176;src/Qaly.Web/ClientApp/pages/ProjectDetailPage.vue:207","Baseline ranking works; skill capacity availability and fairness data are not modeled","P0","Unit+E2E: candidates/reasons/isolation/no auto-assign/confirm"
"P0-UC-15","v3.2","Task breakdown and checklist","QLY-FR-AI-006;QLY-FR-AI-007","Subtask and checklist drafts","Partial","src/Qaly.Web/Controllers/AiController.cs:100;src/Qaly.Application/Services/AiService.cs:342","Subtask text generation exists; checklist persisted draft review and confirm are missing","P0","Integration: schemas/edit/selective-confirm/audit/no pre-confirm writes"
"P0-UC-16","v3.2","Sprint or project summary","QLY-FR-AI-008","Grounded progress summary","Partial","src/Qaly.Application/Services/AiService.cs:78;tests/Qaly.UnitTests/DashboardSummaryServiceTests.cs:41;tests/Qaly.UnitTests/ErumiChatServiceTests.cs:72","Summary implementations do not consistently use reconciled metrics and sprint contract","P0","Unit+integration: metric reconciliation/project+sprint/source/permission"
