domain,table,priority,purpose,read_write,partition,soft_delete
D01_SYSTEM_TENANT,feature_flags,P0,"Lưu dữ liệu nghiệp vụ cho feature flags; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,users,P0,Lưu tài khoản đăng nhập và trạng thái hệ thống của người dùng.,Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,user_profiles,P0,"Lưu dữ liệu nghiệp vụ cho user profiles; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D03_ORGANIZATION,organizations,P0,Lưu doanh nghiệp/không gian làm việc cấp tenant mà user tham gia.,Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D03_ORGANIZATION,organization_members,P0,"Lưu dữ liệu nghiệp vụ cho organization members; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D03_ORGANIZATION,organization_custom_fields,P1,"Lưu dữ liệu nghiệp vụ cho organization custom fields; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,projects,P0,"Lưu dự án outsource trong organization: thông tin, code, trạng thái, owner, ngày bắt đầu/kết thúc, progress và policy tổng.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_settings,P0,"Lưu dữ liệu nghiệp vụ cho project settings; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_members,P0,"Lưu dữ liệu nghiệp vụ cho project members; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_labels,P1,"Lưu dữ liệu nghiệp vụ cho project labels; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_custom_fields,P1,"Lưu dữ liệu nghiệp vụ cho project custom fields; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
