gate,check_id,acceptance_item,status,evidence_link,owner
G0_DOCUMENTATION,G0_DOCUMENTATION-01,SRS v2.1 cập nhật SQL Server,Todo,,
G0_DOCUMENTATION,G0_DOCUMENTATION-02,DB mapping PostgreSQL sang SQL Server hoàn tất,Todo,,
G0_DOCUMENTATION,G0_DOCUMENTATION-03,WBS/RACI đúng 7 người,Todo,,
G0_DOCUMENTATION,G0_DOCUMENTATION-04,Traceability matrix có Req-UC-API-DB-UI-TC,Todo,,
G0_DOCUMENTATION,G0_DOCUMENTATION-05,UML tối thiểu có đủ 6 sơ đồ,Todo,,
G1_DATABASE_ARCHITECTURE,G1_DATABASE_ARCHITECTURE-01,Docker SQL Server chạy,Todo,,
G1_DATABASE_ARCHITECTURE,G1_DATABASE_ARCHITECTURE-02,EF Core migration từ DB rỗng,Todo,,
G1_DATABASE_ARCHITECTURE,G1_DATABASE_ARCHITECTURE-03,Seed đủ account demo,Todo,,
G1_DATABASE_ARCHITECTURE,G1_DATABASE_ARCHITECTURE-04,P0 tables có tenant/org/project key phù hợp,Todo,,
G1_DATABASE_ARCHITECTURE,G1_DATABASE_ARCHITECTURE-05,Health check SQL/Redis/Qdrant/App xanh,Todo,,
G2_RBAC_SECURITY,G2_RBAC_SECURITY-01,Backend policy enforce quyền,Todo,,
G2_RBAC_SECURITY,G2_RBAC_SECURITY-02,Cross-tenant access bị chặn,Todo,,
G2_RBAC_SECURITY,G2_RBAC_SECURITY-03,Customer không thấy internal/private,Todo,,
G2_RBAC_SECURITY,G2_RBAC_SECURITY-04,Admin action có audit,Todo,,
G2_RBAC_SECURITY,G2_RBAC_SECURITY-05,Upload .exe bị chặn,Todo,,
G3_CORE_WORKFLOW,G3_CORE_WORKFLOW-01,Tạo org/project/member,Todo,,
G3_CORE_WORKFLOW,G3_CORE_WORKFLOW-02,Task CRUD/assign/status,Todo,,
G3_CORE_WORKFLOW,G3_CORE_WORKFLOW-03,Kanban move hợp lệ,Todo,,
G3_CORE_WORKFLOW,G3_CORE_WORKFLOW-04,Evidence approval approve/reject,Todo,,
G3_CORE_WORKFLOW,G3_CORE_WORKFLOW-05,Progress đúng basic/weighted,Todo,,
G3_CORE_WORKFLOW,G3_CORE_WORKFLOW-06,Timeline MVP có dependency,Todo,,
G4_COLLAB_CUSTOMER,G4_COLLAB_CUSTOMER-01,Project chat realtime,Todo,,
G4_COLLAB_CUSTOMER,G4_COLLAB_CUSTOMER-02,Task from chat,Todo,,
G4_COLLAB_CUSTOMER,G4_COLLAB_CUSTOMER-03,Notification assign/mention/review,Todo,,
G4_COLLAB_CUSTOMER,G4_COLLAB_CUSTOMER-04,Customer portal filtered,Todo,,
G4_COLLAB_CUSTOMER,G4_COLLAB_CUSTOMER-05,Wiki public/internal đúng quyền,Todo,,
G5_AI_IMPORT,G5_AI_IMPORT-01,Qdrant sync data,Todo,,
G5_AI_IMPORT,G5_AI_IMPORT-02,RAG trả lời có source,Todo,,
G5_AI_IMPORT,G5_AI_IMPORT-03,AI không leak private,Todo,,
G5_AI_IMPORT,G5_AI_IMPORT-04,Ollama/Mock fallback,Todo,,
G5_AI_IMPORT,G5_AI_IMPORT-05,Import Markdown/CSV preview/commit,Todo,,
G5_AI_IMPORT,G5_AI_IMPORT-06,Meeting summary/action item MVP,Todo,,
G6_QA_DEFENSE,G6_QA_DEFENSE-01,Smoke test pass,Todo,,
G6_QA_DEFENSE,G6_QA_DEFENSE-02,Critical/High bug = 0,Todo,,
G6_QA_DEFENSE,G6_QA_DEFENSE-03,Test evidence có screenshot,Todo,,
G6_QA_DEFENSE,G6_QA_DEFENSE-04,Backup/restore runbook,Todo,,
G6_QA_DEFENSE,G6_QA_DEFENSE-05,Slide/demo script/video backup sẵn sàng,Todo,,
