uc_id,module,name,actor,priority,requirement_ref
UC-AI-01,AI_MEETING,Import Meetily transcript/summary,PM/Member,Must Have,FR-AI-001
UC-AI-02,AI_MEETING,Extract meeting keyword/action item/deadline,PM/Member,Must Have,FR-AI-002
UC-AI-03,AI_CHAT,Summarize chat thread,Project member,Must Have,FR-AI-003
UC-AI-04,AI_CHAT_TASK,Create task draft from chat message,Project member/PM,Must Have,FR-AI-004
UC-AI-05,AI_TASK,Recommend assignee by skill/workload,PM,Must Have,FR-AI-005
UC-AI-06,AI_TASK,Break down task into subtasks/checklist,PM/Assignee,Must Have,FR-AI-006
UC-AI-07,AI_REPORT,Generate project/sprint progress summary,PM/Org admin,Must Have,FR-AI-007
UC-AI-08,AI_PROVIDER,Switch AI provider API/local/mock,System admin/AI dev,Must Have,FR-AI-008
UC-AI-09,AI_SEARCH,Semantic search project knowledge,Project member,Should Have,FR-AI-009
UC-AI-10,AI_TASK,Detect duplicate/similar tasks,PM/Member,Should Have,FR-AI-009
UC-AI-11,AI_DOC,Import document sections to draft tasks,PM/BA,Should Have,FR-AI-012
UC-AI-12,AI_RISK,Warn delay/risk from task signals,PM,Should Have,FR-AI-013
