"GateId","RequirementId","Gate","TestLevel","Evidence","Owner","Status","Blocking","Notes"
"G-UC-01","QLY-FR-AUTH-001","Cookie login current-user logout renewal and revoke; Redis fault injection","Integration+Resilience","src/Qaly.Web/Controllers/AuthController.cs:48;tests/Qaly.IntegrationTests/AuthBoundaryIntegrationTests.cs:1","Identity Owner","Partial","Yes","Core login/logout works; formal renewal contract and fail-fast Redis degradation remain open"
"G-UC-02","QLY-FR-PRJ-001","Create project and manage members with tenant isolation and audit","Integration","src/Qaly.Web/Controllers/ProjectsController.cs:68;tests/Qaly.IntegrationTests/ProjectsControllerTests.cs:1","Project Owner","Verified","Yes","Retain as required regression"
"G-UC-03","QLY-FR-RBAC-001","Deny cross-tenant cross-project private-task Wiki meeting and AI-source access","Unit+Integration","tests/Qaly.UnitTests/TaskAccessPolicyIsolationTests.cs:1;tests/Qaly.IntegrationTests/WikiVisibilityIntegrationTests.cs:1","Security Owner","Verified","Yes","Meeting and AI-source negative cases must be added without regressing current evidence"
"G-UC-04","QLY-FR-TASK-001","Create edit and open task using canonical project-task URL","Integration+E2E","src/Qaly.Web/Controllers/TasksController.cs:97","Task Owner","Verified","Yes","Creation is verified; canonical navigation is tracked separately"
"G-UC-05","QLY-FR-TASK-002","Kanban transition workflow evidence concurrency audit and notification","Unit+Integration","src/Qaly.Application/Services/TaskService.cs:795;tests/Qaly.UnitTests/TaskConcurrencyTests.cs:1","Task Owner","Verified","Yes","Retain stale-write and completion-policy coverage"
"G-UC-06","QLY-FR-TASK-003","Comment mention upload evidence mark review and private-task policy","Integration+E2E","src/Qaly.Web/Controllers/CommentsController.cs:38;src/Qaly.Web/Controllers/AttachmentsController.cs:38","Evidence Owner","Implemented-Unverified","Yes","Complete upload-to-review evidence was not executed in the audit run"
"G-UC-07","QLY-FR-COLLAB-001","Link primary group and project; reciprocal navigation; realtime persistence","Integration+E2E","src/Qaly.Web/Controllers/GroupsController.cs:232;src/Qaly.Web/Controllers/GroupsController.cs:478","Collaboration Owner","Partial","Yes","Group chat is strong; formal ownership and reciprocal project discovery are incomplete"
"G-UC-08","QLY-FR-NOTIF-001","Assignment and mention notifications are idempotent persisted realtime and navigable","Unit+E2E","tests/Qaly.UnitTests/NotificationAndWikiPolicyTests.cs:30;src/Qaly.Application/Services/GroupsService.cs:2066","Notification Owner","Verified","Yes","Canonical permission-aware targets remain an enhancement gate"
"G-UC-09","QLY-FR-MEET-001","Meetily import schema dedupe consent sensitivity retention and payload limit","Unit+Integration","tests/Qaly.UnitTests/MeetingPrivacyEnforcementTests.cs:17;src/Qaly.Application/Services/MeetingImportService.cs:79;QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md","Meeting Owner","Implemented-Unverified","Yes","Local meeting privacy and payload gates pass; hosted CI staged policy and live provider evidence remain pending"
"G-UC-10","QLY-FR-AI-002","Meeting extraction creates validated source-linked review draft","Unit+Integration","src/Qaly.Application/Services/MeetingImportService.cs:934;tests/Qaly.UnitTests/MeetilyImportTests.cs:1;QALY_Docs_v4.0_Draft/14_P0-02_Canonical_AI_Job_Evidence.md;QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md","AI Meeting Owner","Verified","Yes","Canonical platform and local privacy policy evidence pass; Meetily compatibility transport remains during rollout"
"G-UC-11","QLY-FR-AI-004","Meeting draft edit reject confirm create or link task once","Integration","tests/Qaly.IntegrationTests/MeetingActionItemsControllerTests.cs:178;tests/Qaly.IntegrationTests/AiJobApiTests.cs:84;tests/Qaly.UnitTests/MeetilyImportTests.cs:71","AI Workflow Owner","Verified","Yes","Canonical confirmation now has CSRF idempotency and concurrency; retain compatibility regression during rollout"
"G-UC-12","QLY-FR-AI-003","Summarize selected message range with cache invalidation and source URLs","Integration+E2E","src/Qaly.Web/Controllers/GroupAiController.cs:56","AI Collaboration Owner","Partial","Yes","Summary exists but explicit range and structured source contract are incomplete"
