risk_id,severity,risk,mitigation,status,owner
R-AI-001,Critical,Giảng viên không tin Qdrant + Ollama,Chuyển sang Meetily-first + AI API primary; Qdrant optional; Ollama fallback,Open,PM/AI Dev
R-AI-002,High,RTX4060 + 16GB RAM không chạy mượt 14B,Dùng 7B/8B Q4 local; API cho task nặng; giới hạn concurrency=1,Open,AI Dev
R-AI-003,High,VPS 8GB thiếu RAM nếu chạy SQL+Qdrant+LLM,Không chạy LLM trên VPS; cap memory SQL/Redis/Qdrant; tắt Qdrant nếu cần,Open,Backend/Ops
R-AI-004,High,Tốn token khi test API,"Mock provider, cache, golden dataset, quota, batch/async",Open,AI Dev/QA
R-AI-005,High,"Meetily codebase mới, rủi ro fork sâu",Không sửa core; dùng import/export connector trước,Open,AI Dev
R-AI-006,Medium,Ngrok URL thay đổi hoặc tunnel chết,Static domain nếu có; env config; manual import fallback,Open,Ops
R-AI-007,Critical,AI leak private/internal data,Permission filter trước/sau retrieval; tenant metadata; test matrix,Open,Backend/QA
R-AI-008,High,AI extract sai assignee/deadline,Chỉ tạo draft; user confirm; hiển thị confidence/source quote,Open,AI Dev/Frontend
R-AI-009,Medium,Qdrant index mất dữ liệu,Outbox + rebuild command từ SQL Server,Open,AI Dev
R-AI-010,Medium,Demo mất mạng/API lỗi,Mock/cached outputs; local fallback; pre-recorded Meetily export,Open,PM/QA
