ai_id,priority,module,function_name,description,input,output,provider_strategy,control_rule
AI-001,P0,Meeting,Meetily-based meeting import/sync,"Nhận transcript/summary từ Meetily, map vào meeting của QALY","Meetily export/sync JSON, meeting metadata","Meeting transcript, summary, sync status",Meetily Connector + AiGateway,Manual review before task creation
AI-002,P0,Meeting,Extract meeting keyword/action item/deadline/decision,"Trích xuất keywords, quyết định, action items, owner, deadline từ meeting",Transcript/summary + participants,Structured JSON + draft tasks,"AI API primary, Ollama fallback",Human approval required
AI-003,P0,Chat,Summarize long chat thread,Tóm tắt 50-200 tin nhắn theo nhóm/project,Filtered chat messages,Summary + risks + next actions,AI API/Local 7B fallback,Permission filter
AI-004,P0,Chat/Task,Extract task candidate from chat,Phát hiện câu giao việc trong chat và tạo task draft,Chat message/thread,Task candidate JSON,AI API primary,User confirm only
AI-005,P0,Task,Recommend assignee by skill/workload,Gợi ý 1-3 người phù hợp dựa trên score + context,"Task info, member skills, workload, history",Candidate list + reason + risk,Deterministic scoring + AI explanation,PM confirms
AI-006,P0,Task,Break down large task into subtasks,Chia task lớn thành các subtasks có thứ tự,Task title/description,Subtasks/checklist,AI API primary,Editable draft
AI-007,P0,Task,Generate acceptance criteria/checklist,Sinh checklist/AC cho task theo chuẩn kiểm thử,Task info/module type,Checklist/AC,AI API primary,Reviewer editable
AI-008,P0,Report,Project/sprint progress summary,Tổng hợp done/in progress/overdue/blockers/risks,SQL stats + selected context,Report draft,AI API primary + SQL deterministic stats,Cite source cards
AI-009,P1,Search,Semantic project search,Tìm kiếm theo ngữ nghĩa trên task/chat/meeting/wiki,Embedded chunks,Search results with source,Qdrant + embedding,ACL metadata filter
AI-010,P1,Task,Duplicate/similar task detection,Cảnh báo task mới giống task cũ,Task embedding/history,Similar task cards,Qdrant similarity,User decides
AI-011,P1,Assistant,Project Q&A with sources,Hỏi đáp dữ liệu dự án có nguồn,Retrieved chunks + SQL facts,Answer + citations,Qdrant + AI API/Ollama,Permission pre/post filter
AI-012,P1,Document,Import document to draft tasks,Trích requirement/task từ Markdown/CSV/PDF text,Uploaded document sections,Draft tasks/risks/questions,Parser + AI API,Human review
AI-013,P1,Risk,Delay/risk warning,Cảnh báo task có nguy cơ trễ,"Deadline, workload, status age, comments",Risk warning,Rule engine + AI explanation,No automatic change
AI-014,P2,Chat,Quick reply/rewrite message,Gợi ý trả lời hoặc viết lại tin nhắn lịch sự,Draft message/context,Suggested message,Small model/API,User sends manually
AI-015,P2,Translation,Translate message VI/EN,Dịch tin nhắn/tài liệu ngắn,Message text,Translated text,Small model/API,Optional
AI-016,P2,Moderation,Spam/abuse/urgent detection,Gắn cờ spam/incident/urgent,Messages/events,Labels/alerts,Rules + AI,Avoid sensitive profiling
