diagram_id,diagram_type,file,use_case_scope,api_or_data_scope,purpose,coverage_reason,status
DIAG-UC-00,Use Case,docs/diagrams/mermaid/UC_00_Overall_68_Use_Cases.mmd; docs/diagrams/plantuml/UC_00_Overall_68_Use_Cases.puml,All 68 UC,Use Case Catalog,Tổng quan actor-module-use case toàn hệ thống,GAP-031 / G0_DOCUMENTATION-05,Done
DIAG-UC-01,Use Case,docs/diagrams/mermaid/UC_01_Auth_Org_Project.mmd; docs/diagrams/plantuml/UC_01_Auth_Org_Project.puml,"UC-AUTH, UC-ORG, UC-PROJ",AUTH/ORG/PROJECT APIs,"Nhóm đăng nhập, tổ chức, dự án",GAP-031,Done
DIAG-UC-02,Use Case,docs/diagrams/mermaid/UC_02_Task_Kanban_Sprint_Timeline.mmd; docs/diagrams/plantuml/UC_02_Task_Kanban_Sprint_Timeline.puml,"UC-TASK, UC-KANBAN, UC-SPRINT, UC-TIMELINE",TASK/KANBAN/SPRINT/TIMELINE APIs,"Nhóm giao việc, bảng Kanban, sprint, timeline",GAP-031,Done
DIAG-UC-03,Use Case,docs/diagrams/mermaid/UC_03_Collaboration_Knowledge.mmd; docs/diagrams/plantuml/UC_03_Collaboration_Knowledge.puml,"UC-CHAT, UC-MEETING, UC-WIKI",CHAT/MEETING/WIKI APIs,Cộng tác realtime và tri thức,GAP-031,Done
DIAG-UC-04,Use Case,docs/diagrams/mermaid/UC_04_AI_Import.mmd; docs/diagrams/plantuml/UC_04_AI_Import.puml,"UC-AI, UC-IMPORT",AI/IMPORT APIs,AI assistant và document mining,GAP-031,Done
DIAG-UC-05,Use Case,docs/diagrams/mermaid/UC_05_Customer_Admin.mmd; docs/diagrams/plantuml/UC_05_Customer_Admin.puml,"UC-CUST, UC-ADMIN",CUSTOMER/ADMIN APIs,Customer view và admin audit,GAP-031,Done
DIAG-ARCH-01,Context,docs/diagrams/mermaid/ARCH_01_System_Context.mmd,All actors,All modules,Ranh giới hệ thống và external services,Architecture appendix,Done
DIAG-ARCH-02,Container,docs/diagrams/mermaid/ARCH_02_Container_Architecture.mmd,All modules,Web/App/Domain/Infra,Kiến trúc container Clean Architecture,Architecture appendix,Done
DIAG-ARCH-03,Component,docs/diagrams/mermaid/ARCH_03_Backend_Component_Clean_Architecture.mmd; docs/diagrams/plantuml/ARCH_03_Backend_Component_Clean_Architecture.puml,All backend services,Controllers/services/policies/workers,Component backend production,GAP-031,Done
DIAG-ARCH-04,Component,docs/diagrams/mermaid/ARCH_04_Frontend_Component_Modules.mmd,UI modules,Screens/routes,Component frontend module,Architecture appendix,Done
DIAG-ARCH-05,Deployment,docs/diagrams/mermaid/ARCH_05_Deployment_Production.mmd; docs/diagrams/plantuml/ARCH_05_Deployment_Production.puml,Production deployment,SQL/Redis/Storage/Qdrant/LLM,Deployment production,GAP-031,Done
DIAG-SEC-01,Activity/Security,docs/diagrams/mermaid/SEC_01_Authorization_Tenant_Flow.mmd,RBAC rules,BR-RBAC-01..06,Tenant isolation/RBAC/customer_safe,Security appendix,Done
DIAG-UML-01,Class,docs/diagrams/mermaid/UML_01_Core_Domain_Class_Diagram.mmd,Core domain,Core tables/classes,Class diagram domain model,GAP-031,Done
DIAG-DATA-01,ERD,docs/diagrams/mermaid/DATA_01_Core_ERD_SQLServer.mmd,Core data,SQL Server schema,Core ERD SQL Server,ERD appendix,Done
DIAG-STATE-01,State Machine,docs/diagrams/mermaid/STATE_01_Task_Lifecycle.mmd,UC-TASK-01..10,BR-TASK/BR-DEP,Task lifecycle production workflow,Business rules,Done
DIAG-STATE-02,State Machine,docs/diagrams/mermaid/STATE_02_Project_Lifecycle.mmd,UC-PROJ,Project status,Project lifecycle,Business rules,Done
DIAG-SEQ-01,Sequence,docs/diagrams/mermaid/SEQ_01_Login_Tenant_RBAC.mmd,UC-AUTH-03,/api/v1/auth/login,Login and session flow,Sequence appendix,Done
DIAG-SEQ-02,Sequence,docs/diagrams/mermaid/SEQ_02_Create_Project_And_Members.mmd,UC-PROJ-01/03,Project APIs,Create project + members,Sequence appendix,Done
DIAG-SEQ-03,Sequence,docs/diagrams/mermaid/SEQ_03_Create_Task.mmd,UC-TASK-01/02,API-TASK-001/006,Create task,GAP-031,Done
DIAG-SEQ-04,Sequence,docs/diagrams/mermaid/SEQ_04_Task_Status_Approval.mmd,UC-TASK-05..09,API-TASK-014..018,Status approval + evidence,GAP-031,Done
DIAG-SEQ-05,Sequence,docs/diagrams/mermaid/SEQ_05_Kanban_Drag_Drop_Status.mmd,UC-KANBAN-01,API-KANBAN-006,Kanban move/reorder/status,Sequence appendix,Done
DIAG-SEQ-06,Sequence,docs/diagrams/mermaid/SEQ_06_Chat_Assign_Task.mmd,UC-CHAT-03,API-CHAT-013 + API-TASK-001,Create task from chat,Sequence appendix,Done
DIAG-SEQ-07,Sequence,docs/diagrams/mermaid/SEQ_07_AI_RAG_Project_Progress.mmd,UC-AI-01,API-AI-004,AI RAG project progress,AI appendix,Done
DIAG-SEQ-08,Sequence,docs/diagrams/mermaid/SEQ_08_Document_Import_To_Tasks.mmd,UC-IMPORT-01..04,API-IMPORT-001..006,Document mining import,AI/import appendix,Done
DIAG-SEQ-09,Sequence,docs/diagrams/mermaid/SEQ_09_Weekly_Report_Generation.mmd,UC-AI-02,API-AI-006,Weekly report generation,AI appendix,Done
DIAG-SEQ-10,Sequence,docs/diagrams/mermaid/SEQ_10_Wiki_Version_Rollback.mmd,UC-WIKI-02/03,API-WIKI-004/008,Wiki version/rollback,Sequence appendix,Done
DIAG-ACT-01,Activity,docs/diagrams/mermaid/ACT_01_Task_Lifecycle_End_To_End.mmd,UC-TASK-01..10,Task APIs,Task lifecycle end-to-end,GAP-031,Done
DIAG-ACT-02,Activity,docs/diagrams/mermaid/ACT_02_Document_Mining_Import.mmd,UC-IMPORT-01..04,Import APIs,Document mining activity,Activity appendix,Done
DIAG-ACT-03,Activity,docs/diagrams/mermaid/ACT_03_Customer_Safe_View.mmd,UC-CUST-01..03,Customer view,Customer-safe activity,Activity appendix,Done
DIAG-DATA-02,DFD,docs/diagrams/mermaid/DATA_02_AI_Knowledge_Sync_DFD.mmd,UC-AI-04,AI sync tables/Qdrant,AI knowledge sync DFD,AI appendix,Done
DIAG-OPS-01,Flow,docs/diagrams/mermaid/OPS_01_Observability_Error_Flow.mmd,All APIs,ProblemDetails/audit/logs,Observability and error flow,Ops appendix,Done
