api_id,group,method,path,auth,role,rate_limit,cache
API-AUTH-001,AUTH,POST,/api/v1/auth/register,Public,guest/user,20 req/min,No Cache
API-AUTH-002,AUTH,POST,/api/v1/auth/login,Public,guest/user,20 req/min,No Cache
API-AUTH-003,AUTH,POST,/api/v1/auth/logout,Required,Theo RBAC 3 tầng: system/org/project policy tương ứng,20 req/min,No Cache
API-AUTH-004,AUTH,POST,/api/v1/auth/refresh-token,Required,Theo RBAC 3 tầng: system/org/project policy tương ứng,20 req/min,No Cache
API-AUTH-005,AUTH,GET,/api/v1/auth/me,Required,Theo RBAC 3 tầng: system/org/project policy tương ứng,60 req/min,Redis 30-120s tùy scope; private/user-specific phải key theo user/tenant
API-AUTH-006,AUTH,PATCH,/api/v1/auth/me,Required,Theo RBAC 3 tầng: system/org/project policy tương ứng,20 req/min,No Cache
API-AUTH-007,AUTH,POST,/api/v1/auth/verify-email,Public,guest/user,20 req/min,No Cache
API-AUTH-008,AUTH,POST,/api/v1/auth/resend-verification,Required,Theo RBAC 3 tầng: system/org/project policy tương ứng,20 req/min,No Cache
API-AUTH-009,AUTH,POST,/api/v1/auth/forgot-password,Public,guest/user,20 req/min,No Cache
API-AUTH-010,AUTH,POST,/api/v1/auth/reset-password,Public,guest/user,20 req/min,No Cache
API-AUTH-011,AUTH,POST,/api/v1/auth/change-password,Required,Theo RBAC 3 tầng: system/org/project policy tương ứng,20 req/min,No Cache
API-AUTH-012,AUTH,GET,/api/v1/auth/sessions,Required,Theo RBAC 3 tầng: system/org/project policy tương ứng,60 req/min,Redis 30-120s tùy scope; private/user-specific phải key theo user/tenant
API-AUTH-013,AUTH,DELETE,/api/v1/auth/sessions/{sessionId},Required,Theo RBAC 3 tầng: system/org/project policy tương ứng,20 req/min,No Cache
API-ORGANIZATION-001,ORGANIZATION,POST,/api/v1/organizations,Required,Theo RBAC 3 tầng: system/org/project policy tương ứng,20 req/min,No Cache
API-ORGANIZATION-002,ORGANIZATION,GET,/api/v1/organizations,Required,Theo RBAC 3 tầng: system/org/project policy tương ứng,60 req/min,Redis 30-120s tùy scope; private/user-specific phải key theo user/tenant
API-ORGANIZATION-003,ORGANIZATION,GET,/api/v1/organizations/{orgId},Required,Theo RBAC 3 tầng: system/org/project policy tương ứng,60 req/min,Redis 30-120s tùy scope; private/user-specific phải key theo user/tenant
